test_image,distortion,response,resptime
pet_4,120,1,2.797793
pet_6,100,0,0.44157
pet_1,50,0,2.870934
pet_4,60,0,0.671194
pet_10,100,0,0.582222
human_5,70,0,0.54928
human_6,100,0,0.440528
human_2,100,0,0.344681
pet_2,110,0,0.377459
human_6,130,0,0.328459
human_6,70,0,0.295299
human_9,150,0,0.312662
human_2,50,0,0.24558
pet_7,100,0,0.325179
human_7,140,0,0.264291
human_7,100,0,0.290106
human_10,90,0,0.366077
pet_2,100,0,0.406422
pet_5,130,0,0.302926
human_5,130,0,0.355319
human_8,100,0,0.32762
pet_2,50,0,0.351997
pet_3,60,0,2.392761
human_9,100,0,1.466001
human_4,60,0,0.43662
human_1,100,0,0.362253
human_2,110,0,0.327447
pet_9,100,0,0.533157
pet_10,150,0,0.3863
pet_4,100,0,0.446483
pet_3,120,0,0.384932
pet_6,130,0,0.449964
human_4,120,0,0.457916
human_7,80,0,0.510434
pet_8,140,0,0.480026
human_1,50,0,0.581321
pet_7,80,0,0.518403
human_10,100,0,0.585734
human_10,150,0,0.349939
human_8,80,0,0.539538
pet_10,90,0,0.597935
human_5,100,0,0.410473
human_9,90,0,0.374565
pet_5,70,0,0.637672
pet_8,80,0,0.620025
pet_1,110,0,0.895272
human_8,140,0,0.792206
human_1,110,0,0.448823
human_3,100,0,0.442997
human_3,60,0,0.346176
pet_9,90,0,0.603589
pet_9,150,0,0.667076
pet_3,100,0,0.485343
human_3,120,0,0.620716
pet_6,70,0,0.780943
pet_8,100,0,2.365931
pet_7,140,0,3.098895
human_4,100,0,1.399019
pet_1,100,0,0.428919
pet_5,100,0,0.383117
